o_cz,o_cz_name,o_state_name,d_cz,d_cz_name,d_state_name,n,n_tot_o,n_tot_d,pool,pr_d_o,pr_o_d
100,Johnson City,Tennessee,9800,Auburn,Alabama,2,11527,5400,Q1,0.0001735,0.0003704
100,Johnson City,Tennessee,26101,Moberly,Missouri,0,11527,890,Q1,0,0
100,Johnson City,Tennessee,32305,Del Rio,Texas,0,11527,1562,Q1,0,0
100,Johnson City,Tennessee,26602,Sisseton,South Dakota,0,11527,408,Q1,0,0
100,Johnson City,Tennessee,39000,Yakima,Washington,2,11527,6038,Q1,0.0001735,0.0003312
100,Johnson City,Tennessee,16200,Altoona,Pennsylvania,1,11527,5913,Q1,0.0000868,0.0001691
100,Johnson City,Tennessee,3102,Brookhaven,Mississippi,0,11527,1421,Q1,0,0
100,Johnson City,Tennessee,4200,Little Rock,Arkansas,2,11527,20177,Q1,0.0001735,0.0000991
100,Johnson City,Tennessee,34602,Rawlins,Wyoming,0,11527,272,Q1,0,0
100,Johnson City,Tennessee,34402,Bozeman,Montana,1,11527,1699,Q1,0.0000868,0.0005886
100,Johnson City,Tennessee,34309,Harlowton,Montana,0,11527,55,Q1,0,0
100,Johnson City,Tennessee,31404,Alpine,Texas,0,11527,454,Q1,0,0
100,Johnson City,Tennessee,34901,Albuquerque,New Mexico,0,11527,20677,Q1,0,0
100,Johnson City,Tennessee,4003,Ruston,Louisiana,1,11527,2557,Q1,0.0000868,0.0003911
100,Johnson City,Tennessee,6502,Cleveland,Tennessee,11,11527,4899,Q1,0.0009543,0.0022454
100,Johnson City,Tennessee,26801,Fargo,North Dakota,0,11527,3594,Q1,0,0
100,Johnson City,Tennessee,14900,Gary,Indiana,3,11527,12734,Q1,0.0002603,0.0002356
100,Johnson City,Tennessee,34002,Idabel,Oklahoma,1,11527,2703,Q1,0.0000868,0.00037
100,Johnson City,Tennessee,27006,Mitchell,South Dakota,0,11527,453,Q1,0,0
100,Johnson City,Tennessee,5202,Memphis,Tennessee,11,11527,46123,Q1,0.0009543,0.0002385
100,Johnson City,Tennessee,35801,Boise City,Idaho,2,11527,9539,Q1,0.0001735,0.0002097
100,Johnson City,Tennessee,10502,Starkville,Mississippi,0,11527,3931,Q1,0,0
100,Johnson City,Tennessee,7100,Port St. Lucie,Florida,7,11527,28931,Q1,0.0006073,0.000242
100,Johnson City,Tennessee,3202,Natchez,Mississippi,0,11527,2618,Q1,0,0
100,Johnson City,Tennessee,21202,Redwood Falls,Minnesota,0,11527,329,Q1,0,0
100,Johnson City,Tennessee,26410,Dickinson,North Dakota,0,11527,633,Q1,0,0
100,Johnson City,Tennessee,39202,Enterprise,Oregon,0,11527,76,Q1,0,0
100,Johnson City,Tennessee,36501,Klamath Falls,California,0,11527,2741,Q1,0,0
100,Johnson City,Tennessee,1400,Fayetteville,North Carolina,15,11527,24671,Q1,0.0013013,0.000608
100,Johnson City,Tennessee,9701,Columbus,Georgia,5,11527,13101,Q1,0.0004338,0.0003817
100,Johnson City,Tennessee,32000,Houston,Texas,17,11527,129779,Q1,0.0014748,0.000131
100,Johnson City,Tennessee,20002,Calais,Maine,1,11527,599,Q1,0.0000868,0.0016694
100,Johnson City,Tennessee,5600,Nashville,Tennessee,81,11527,29881,Q1,0.007027,0.0027108
100,Johnson City,Tennessee,1002,Morganton,North Carolina,21,11527,3149,Q1,0.0018218,0.0066688
100,Johnson City,Tennessee,4002,Shreveport,Louisiana,2,11527,20528,Q1,0.0001735,0.0000974
100,Johnson City,Tennessee,5402,Glasgow,Kentucky,0,11527,2236,Q1,0,0
100,Johnson City,Tennessee,29902,Center,Missouri,0,11527,969,Q1,0,0
100,Johnson City,Tennessee,34604,Lusk,Wyoming,0,11527,57,Q1,0,0
100,Johnson City,Tennessee,6700,Tampa,Florida,30,11527,58772,Q1,0.0026026,0.0005104
100,Johnson City,Tennessee,34307,Colstrip,Montana,0,11527,302,Q1,0,0
100,Johnson City,Tennessee,27009,Chamberlain,South Dakota,0,11527,276,Q1,0,0
100,Johnson City,Tennessee,3001,Kosciusko,Mississippi,0,11527,2016,Q1,0,0
100,Johnson City,Tennessee,32603,Seymour,Texas,0,11527,74,Q1,0,0
100,Johnson City,Tennessee,34115,Fairbanks,Alaska,6,11527,2360,Q1,0.0005205,0.0025424
100,Johnson City,Tennessee,32303,Junction,Texas,0,11527,129,Q1,0,0
100,Johnson City,Tennessee,1201,Franklin,North Carolina,1,11527,801,Q1,0.0000868,0.0012484
100,Johnson City,Tennessee,30701,Roswell,New Mexico,0,11527,3364,Q1,0,0
100,Johnson City,Tennessee,21301,Mankato,Minnesota,0,11527,1751,Q1,0,0
100,Johnson City,Tennessee,11101,Montgomery,Alabama,2,11527,15405,Q1,0.0001735,0.0001298
100,Johnson City,Tennessee,12002,Ludington,Michigan,0,11527,905,Q1,0,0
100,Johnson City,Tennessee,28604,Colby,Kansas,0,11527,191,Q1,0,0
100,Johnson City,Tennessee,35902,Price,Utah,0,11527,617,Q1,0,0
100,Johnson City,Tennessee,30904,Pampa,Texas,0,11527,958,Q1,0,0
100,Johnson City,Tennessee,34902,Socorro,New Mexico,0,11527,518,Q1,0,0
